code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Four_Wheelers_Rank
ASBTN,Bhutan,94.9,1.7,0,3.4,0,15.1,1
SAARG,Argentina,88,0,2,10.1,0,13.6,2
EUISL,Iceland,80,6.7,0,6.7,6.7,4.6,3
ASTKM,Turkmenistan,74.7,0,1.9,23.4,0,17.4,4
ASQAT,Qatar,71.6,0,0,28.4,0,15.2,5
AFCOD,Democratic Republic of the Congo,70.9,14.9,0,4.9,9.1,33.2,6
AFLBY,Libya,70.8,1.5,1.3,26.4,0,23.8,7
AFBWA,Botswana,67.6,0,0,27.3,5.1,23.6,8
ASKGZ,Kyrgyzstan,67.3,0,1.1,31.6,0.1,22,9
AFNER,Niger,67,0,0,33,0,26.4,10
EULUX,Luxembourg,66.7,17.8,0,11.1,4.4,8.7,11
NACAN,Canada,66.6,8.4,2.5,15.7,6.7,6,12
AFZAF,South Africa,66.6,0,0,33.4,0,25.1,13
OCNZL,New Zealand,65.7,15.4,3.1,11.8,3.9,6,14
EUIRL,Ireland,65.4,13.8,2.7,16.5,1.6,4.1,15
NAUSA,United States of America,64.4,14.8,2.2,14.1,4.5,10.6,16
ASOMN,Oman,64.3,2.3,2.6,23.2,7.6,25.4,17
ASJOR,Jordan,64.3,0,0,35.7,0,26.3,18
OCAUS,Australia,64.2,17.9,4.2,13.2,0.6,5.4,19
EUBGR,Bulgaria,62.9,8.7,5.2,18.1,5.2,8.3,20
OCTON,Tonga,62.5,0,0,37.5,0,7.6,21
ASTJK,Tajikistan,62.5,0,4.2,33.3,0,18.8,22
EUFIN,Finland,62.4,11.2,7.8,13.2,5.4,4.8,23
ASAZE,Azerbaijan,62.1,0.5,0.3,30.5,6.7,10,24
AFNAM,Namibia,61.7,0.6,0.6,32.1,4.9,23.9,25
EUNOR,Norway,61,12.8,5.3,9.6,11.2,3.8,26
ASKAZ,Kazakhstan,60.5,2.3,1.1,22.5,13.5,24.2,27
ASBHR,Bahrain,59.3,3.5,5.8,31.4,0,8,28
EURUS,Russian Federation,57.3,4.3,1.7,28.9,7.8,18.9,29
EUSWE,Sweden,57.3,16.5,5.4,16.2,4.6,2.8,30
ASARE,United Arab Emirates,57.3,2.6,0.3,26.1,13.7,10.9,31
AFLSO,Lesotho,56.9,1.2,0.6,30.3,11,28.2,32
SABOL,Bolivia (Plurinational State of),56.1,9.9,0.9,32.5,0.6,23.2,33
ASARM,Armenia,54.7,0,0.3,35.8,9.2,18.3,34
EUHRV,Croatia,54.3,17.1,6.3,18.8,3.5,9.2,35
EUBIH,Bosnia and Herzegovina,52.6,9.1,11,27.3,0,17.7,36
EUBEL,Belgium,51.9,15.9,10.1,13.7,8.4,6.7,37
EUALB,Albania,50.8,13.2,4.1,31.2,0.7,15.1,38
EUEST,Estonia,50.6,6.2,11.1,28.4,3.7,7,39
EUDNK,Denmark,50.3,13.6,17.3,17.8,1,3.5,40
EUFRA,France,49.3,24.2,4.5,14.2,7.8,5.1,41
EUBLR,Belarus,49.2,0,7.9,41.6,1.2,13.7,42
AFTUN,Tunisia,48.6,20.5,2.5,28.2,0,24.4,43
AFEGY,Egypt,48.6,0.6,6.3,29.2,15.3,12.8,44
AFZMB,Zambia,48.4,2.2,11.6,36.4,0,24.7,45
OCPNG,Papua New Guinea,48.4,0,0,29,22.6,16.8,46
EUDEU,Germany,47.6,19.2,10.6,16.7,6,4.3,47
EUCZE,Czechia,47.1,11,11.3,24.8,5.8,6.1,48
ASMNG,Mongolia,47,19.3,0.2,30.6,2.9,21,49
EUESP,Spain,46.7,21.1,4.1,22.5,5.6,3.7,50
EUGBR,United Kingdom of Great Britain and Northern Ireland,46.3,19.3,6.4,22.9,5.2,2.9,51
EUSRB,Serbia,46.2,8.6,9.1,26.9,9.2,7.7,52
EUSVK,Slovakia,45.8,8.4,6.8,30.3,8.8,6.6,53
EUSVN,Slovenia,45.6,16.8,12.8,16,8.8,6.4,54
EUITA,Italy,45.4,25.5,7.4,16.2,5.5,6.1,55
ASGEO,Georgia,44.7,3.1,0.6,24.3,27.2,11.8,56
EUMNE,Montenegro,44.6,9.5,1.4,20.3,24.3,11.9,57
OCVUT,Vanuatu,44.4,0,0,55.6,0,16.6,58
EUMLT,Malta,44.4,27.8,0,27.8,0,5.1,59
EUPRT,Portugal,44.3,20.4,4.6,22.6,8.2,7.8,60
EUROU,Romania,44,4.7,8.5,39,3.8,8.7,61
EUGRC,Greece,43.9,32.5,2.1,17.2,4.3,9.1,62
EUPOL,Poland,43.1,9.4,9.1,34,4.4,10.3,63
EUHUN,Hungary,43,13.9,11.5,24.9,6.8,7.7,64
EULTU,Lithuania,43,7.4,7,37.5,4.7,10.6,65
EUAUT,Austria,42.4,21.5,11.2,18,5.9,5.4,66
EULVA,Latvia,42,7.4,7.4,39.8,3.4,10,67
ASBGD,Bangladesh,41.5,10.8,1.8,32.2,13.7,13.6,68
ASIRN,Iran (Islamic Republic of),41.3,21.5,0.7,23.2,13.4,32.1,69
ASISR,Israel,41.2,14.1,4.7,32.9,7.2,3.6,70
EUMDA,Republic of Moldova,41.1,11.9,6,32.8,8.3,12.5,71
OCCOK,Cook Islands,40,60,0,0,0,24.2,72
OCFJI,Fiji,39,0,2.4,58.5,0,5.8,73
EUCYP,Cyprus,38.6,34.1,4.5,18.2,4.5,5.2,74
EUCHE,Switzerland,38.3,20.4,6.3,25.7,9.3,3.3,75
EUNLD,Netherlands,36.5,13.5,32.3,9.8,7.9,3.4,76
