code,Country,Four-Wheelers,Two-Wheelers,Cyclists,Pedestrians,Others,Estimated road traffic death rate per 100 000 population,Four_Wheelers_Rank,Two_Wheelers_Rank,Cyclists_Rank,Pedestrians_Rank,Others_Rank
ASBTN,Bhutan,94.9,1.7,0,3.4,0,15.1,1,91,116,117,94
SAARG,Argentina,88,0,2,10.1,0,13.6,2,113,73,108,114
EUISL,Iceland,80,6.7,0,6.7,6.7,4.6,3,77,143,114,50
ASTKM,Turkmenistan,74.7,0,1.9,23.4,0,17.4,4,123,76,73,116
ASQAT,Qatar,71.6,0,0,28.4,0,15.2,5,150,150,55,154
AFCOD,Democratic Republic of the Congo,70.9,14.9,0,4.9,9.1,33.2,6,53,130,116,37
AFLBY,Libya,70.8,1.5,1.3,26.4,0,23.8,7,92,80,63,135
AFBWA,Botswana,67.6,0,0,27.3,5.1,23.6,8,110,97,60,63
ASKGZ,Kyrgyzstan,67.3,0,1.1,31.6,0.1,22,9,145,82,40,92
AFNER,Niger,67,0,0,33,0,26.4,10,158,159,34,161
EULUX,Luxembourg,66.7,17.8,0,11.1,4.4,8.7,11,44,133,107,68
AFZAF,South Africa,66.6,0,0,33.4,0,25.1,12,104,99,30,97
OCNZL,New Zealand,65.7,15.4,3.1,11.8,3.9,6,13,52,61,106,71
EUIRL,Ireland,65.4,13.8,2.7,16.5,1.6,4.1,14,57,63,96,81
ASJOR,Jordan,64.3,0,0,35.7,0,26.3,15,141,139,25,142
ASOMN,Oman,64.3,2.3,2.6,23.2,7.6,25.4,16,87,65,75,46
OCAUS,Australia,64.2,17.9,4.2,13.2,0.6,5.4,17,43,52,103,89
EUBGR,Bulgaria,62.9,8.7,5.2,18.1,5.2,8.3,18,70,46,90,61
OCTON,Tonga,62.5,0,0,37.5,0,7.6,19,124,118,20,118
ASTJK,Tajikistan,62.5,0,4.2,33.3,0,18.8,20,127,53,32,122
EUFIN,Finland,62.4,11.2,7.8,13.2,5.4,4.8,21,63,28,104,59
ASAZE,Azerbaijan,62.1,0.5,0.3,30.5,6.7,10,22,98,92,45,49
AFNAM,Namibia,61.7,0.6,0.6,32.1,4.9,23.9,23,97,89,39,64
EUNOR,Norway,61,12.8,5.3,9.6,11.2,3.8,24,61,45,111,29
ASKAZ,Kazakhstan,60.5,2.3,1.1,22.5,13.5,24.2,25,88,81,80,26
ASBHR,Bahrain,59.3,3.5,5.8,31.4,0,8,26,84,42,41,115
EURUS,Russian Federation,57.3,4.3,1.7,28.9,7.8,18.9,27,83,78,53,45
EUSWE,Sweden,57.3,16.5,5.4,16.2,4.6,2.8,28,49,44,97,66
ASARE,United Arab Emirates,57.3,2.6,0.3,26.1,13.7,10.9,29,86,94,66,25
AFLSO,Lesotho,56.9,1.2,0.6,30.3,11,28.2,30,94,88,47,30
SABOL,Bolivia (Plurinational State of),56.1,9.9,0.9,32.5,0.6,23.2,31,66,84,37,88
ASARM,Armenia,54.7,0,0.3,35.8,9.2,18.3,32,122,91,24,36
EUHRV,Croatia,54.3,17.1,6.3,18.8,3.5,9.2,33,46,38,87,75
EUBIH,Bosnia and Herzegovina,52.6,9.1,11,27.3,0,17.7,34,69,17,59,100
EUBEL,Belgium,51.9,15.9,10.1,13.7,8.4,6.7,35,51,19,102,40
EUALB,Albania,50.8,13.2,4.1,31.2,0.7,15.1,36,60,54,42,87
EUEST,Estonia,50.6,6.2,11.1,28.4,3.7,7,37,79,15,54,74
EUDNK,Denmark,50.3,13.6,17.3,17.8,1,3.5,38,58,3,92,85
EUFRA,France,49.3,24.2,4.5,14.2,7.8,5.1,39,28,50,101,44
EUBLR,Belarus,49.2,0,7.9,41.6,1.2,13.7,40,112,27,12,82
AFEGY,Egypt,48.6,0.6,6.3,29.2,15.3,12.8,41,96,39,51,21
AFTUN,Tunisia,48.6,20.5,2.5,28.2,0,24.4,42,35,66,56,117
OCPNG,Papua New Guinea,48.4,0,0,29,22.6,16.8,43,161,154,52,16
AFZMB,Zambia,48.4,2.2,11.6,36.4,0,24.7,44,89,9,22,106
EUDEU,Germany,47.6,19.2,10.6,16.7,6,4.3,45,41,18,94,53
EUCZE,Czechia,47.1,11,11.3,24.8,5.8,6.1,46,64,12,71,55
ASMNG,Mongolia,47,19.3,0.2,30.6,2.9,21,47,40,95,44,77
EUESP,Spain,46.7,21.1,4.1,22.5,5.6,3.7,48,34,55,79,56
EUGBR,United Kingdom of Great Britain and Northern Ireland,46.3,19.3,6.4,22.9,5.2,2.9,49,39,36,77,62
EUSRB,Serbia,46.2,8.6,9.1,26.9,9.2,7.7,50,71,22,61,35
EUSVK,Slovakia,45.8,8.4,6.8,30.3,8.8,6.6,51,72,35,46,38
EUSVN,Slovenia,45.6,16.8,12.8,16,8.8,6.4,52,47,8,99,39
EUITA,Italy,45.4,25.5,7.4,16.2,5.5,6.1,53,27,31,98,57
ASGEO,Georgia,44.7,3.1,0.6,24.3,27.2,11.8,54,85,87,72,11
EUMNE,Montenegro,44.6,9.5,1.4,20.3,24.3,11.9,55,67,79,84,14
EUMLT,Malta,44.4,27.8,0,27.8,0,5.1,56,25,128,57,130
OCVUT,Vanuatu,44.4,0,0,55.6,0,16.6,57,117,113,6,110
EUPRT,Portugal,44.3,20.4,4.6,22.6,8.2,7.8,58,38,49,78,42
EUROU,Romania,44,4.7,8.5,39,3.8,8.7,59,81,25,17,73
EUGRC,Greece,43.9,32.5,2.1,17.2,4.3,9.1,60,20,72,93,70
EUPOL,Poland,43.1,9.4,9.1,34,4.4,10.3,61,68,23,29,69
EULTU,Lithuania,43,7.4,7,37.5,4.7,10.6,62,74,34,21,65
EUHUN,Hungary,43,13.9,11.5,24.9,6.8,7.7,63,56,11,70,48
EUAUT,Austria,42.4,21.5,11.2,18,5.9,5.4,64,32,13,91,54
EULVA,Latvia,42,7.4,7.4,39.8,3.4,10,65,73,32,16,76
ASBGD,Bangladesh,41.5,10.8,1.8,32.2,13.7,13.6,66,65,77,38,24
ASIRN,Iran (Islamic Republic of),41.3,21.5,0.7,23.2,13.4,32.1,67,31,86,76,27
ASISR,Israel,41.2,14.1,4.7,32.9,7.2,3.6,68,54,48,35,47
EUMDA,Republic of Moldova,41.1,11.9,6,32.8,8.3,12.5,69,62,40,36,41
OCCOK,Cook Islands,40,60,0,0,0,24.2,70,7,164,131,159
OCFJI,Fiji,39,0,2.4,58.5,0,5.8,71,148,67,5,132
EUCYP,Cyprus,38.6,34.1,4.5,18.2,4.5,5.2,72,18,51,89,67
